Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Code,RFM_Score,Customer_Segment,Cluster,Cluster_Name,PCA1,PCA2,Average_Order_Value,Purchase_Frequency,Profit_Margin,CLV_Simple
CUST0001,39,8,943.7708423935009,4,5,5,455,14,Champions,0,Cluster 0,1.9793494660039193,0.3546785456323713,117.9713552991876,5.0352467270896275,0.25,148.5037201651405
CUST0002,25,6,617.5317254115159,4,4,4,444,12,Champions,0,Cluster 0,0.7621938071791131,-0.4514646405625035,102.92195423525266,5.0352467270896275,0.25,129.5593583021811
CUST0003,38,5,548.8606916488864,4,3,3,433,10,Potential Loyalists,0,Cluster 0,0.25075207570225627,-0.5049476812463647,109.77213832977728,5.0352467270896275,0.25,138.18245006266022
CUST0004,87,3,247.11787763708224,2,1,1,211,4,Others,1,Cluster 1,-1.2699972774343053,-0.5471923850317099,82.37262587902741,5.0352467270896275,0.25,103.69162371478778
CUST0005,109,4,337.3411846868325,2,2,2,222,6,Others,1,Cluster 1,-0.9094836479296062,-0.059507643910291494,84.33529617170812,5.0352467270896275,0.25,106.16225600668193
CUST0006,100,4,523.0773190384444,2,2,3,223,7,About to Sleep,1,Cluster 1,-0.44360099333055314,0.06516009470172227,130.7693297596111,5.0352467270896275,0.25,164.6139599189465
CUST0007,72,5,559.9084372987143,3,3,3,333,9,Need Attention,1,Cluster 1,0.08205729415651554,-0.09536905726686448,111.98168745974286,5.0352467270896275,0.25,140.96385631891096
CUST0008,77,5,530.19327924288,3,3,3,333,9,Need Attention,1,Cluster 1,-0.012724151365235073,-0.07385651740095597,106.03865584857598,5.0352467270896275,0.25,133.4826987016314
CUST0009,61,3,231.0294450041772,3,1,1,311,5,Others,1,Cluster 1,-1.1580537969066331,-0.869838799879303,77.0098150013924,5.0352467270896275,0.25,96.9408547348847
CUST0010,178,5,557.3067709315343,1,3,3,133,7,Others,1,Cluster 1,-0.5265841920769646,1.1357847653378244,111.46135418630686,5.0352467270896275,0.25,140.30885471589485
CUST0011,129,5,536.2846436745683,2,3,3,233,8,Others,1,Cluster 1,-0.2948530081091065,0.5392082960788955,107.25692873491366,5.0352467270896275,0.25,135.01627484253984
CUST0012,60,9,965.1071979104096,3,5,5,355,13,Loyal Customers,0,Cluster 0,2.191744192138738,0.7456101133517974,107.23413310115662,5.0352467270896275,0.25,134.9875794324731
CUST0013,20,6,586.1226307187316,4,4,3,443,11,Loyal Customers,0,Cluster 0,0.7205012637495959,-0.5484947417456908,97.6871051197886,5.0352467270896275,0.25,122.96966908331898
CUST0014,35,4,654.9987467448761,4,2,4,424,10,Potential Loyalists,0,Cluster 0,0.22060555445354282,-0.5287779641034404,163.74968668621904,5.0352467270896275,0.25,206.1300184871841
CUST0015,48,5,346.1491258466327,3,3,2,332,8,Need Attention,1,Cluster 1,-0.2587192446126136,-0.6389431796412816,69.22982516932655,5.0352467270896275,0.25,87.14731265020966
CUST0016,88,2,192.70532093807734,2,1,1,211,4,Others,1,Cluster 1,-1.68135846350457,-0.7227992033543201,96.35266046903867,5.0352467270896275,0.25,121.28985456827627
CUST0017,93,7,995.148186063514,2,4,5,245,11,At Risk,0,Cluster 0,1.5027722936103967,0.9269566943167894,142.164026580502,5.0352467270896275,0.25,178.95773738733888
CUST0018,347,2,143.1831747224085,1,1,1,111,3,Lost Customers,1,Cluster 1,-3.264887135908912,2.232067767498269,71.59158736120425,5.0352467270896275,0.25,90.12032648691371
CUST0019,7,11,1103.990274827222,5,5,5,555,15,Champions,0,Cluster 0,3.371620030750804,0.5400655541726262,100.36275225702019,5.0352467270896275,0.25,126.33780495596702
CUST0020,169,2,172.80062377308428,1,1,1,111,3,Lost Customers,1,Cluster 1,-2.1864554403127325,0.1958525795016141,86.40031188654214,5.0352467270896275,0.25,108.7617219115586
CUST0021,40,9,1200.7781642166374,4,5,5,455,14,Champions,0,Cluster 0,2.8316759804534826,0.8038763450083126,133.41979602407082,5.0352467270896275,0.25,167.95039781479207
CUST0022,64,8,1134.7927192240497,3,5,5,355,13,Loyal Customers,0,Cluster 0,2.263672338313331,0.881806090271907,141.84908990300622,5.0352467270896275,0.25,178.5612914186886
